# порождено настоящим DecideRegisterUser; правится не здесь
# id	userIdHex	nickHex	displayNameHex	nickTaken	verdict	errorCode
# limits	3	20	60
1	752d616e64726579	616e64726579	d090d0bdd0b4d180d0b5d0b9	no	accepted	-
2	752d616e64726579	616e64726579	d090d0bdd0b4d180d0b5d0b9	yes	rejected	NICK_TAKEN
3	-	616e64726579	d090d0bdd0b4d180d0b5d0b9	no	rejected	INSUFFICIENT_CONTEXT
4	7520616e64726579	616e64726579	d090d0bdd0b4d180d0b5d0b9	no	rejected	INSUFFICIENT_CONTEXT
5	752d616e64726579	-	d090d0bdd0b4d180d0b5d0b9	no	rejected	NICK_FORMAT_INVALID
6	752d616e64726579	6162	d090d0bdd0b4d180d0b5d0b9	no	rejected	NICK_FORMAT_INVALID
7	752d616e64726579	616263	d090d0bdd0b4d180d0b5d0b9	no	accepted	-
8	752d616e64726579	6162636465666768696a6b6c6d6e6f7071727374	d090d0bdd0b4d180d0b5d0b9	no	accepted	-
9	752d616e64726579	6162636465666768696a6b6c6d6e6f707172737475	d090d0bdd0b4d180d0b5d0b9	no	rejected	NICK_FORMAT_INVALID
10	752d616e64726579	416e64726579	d090d0bdd0b4d180d0b5d0b9	no	rejected	NICK_FORMAT_INVALID
11	752d616e64726579	752d616e64726579	d090d0bdd0b4d180d0b5d0b9	no	rejected	NICK_FORMAT_INVALID
12	752d616e64726579	616e647265795f31	d090d0bdd0b4d180d0b5d0b9	no	accepted	-
13	752d616e64726579	d0b0d0bdd0b4d180d0b5d0b9	d090d0bdd0b4d180d0b5d0b9	no	rejected	NICK_FORMAT_INVALID
14	752d616e64726579	616e64726579	-	no	rejected	DISPLAY_NAME_INVALID
15	752d616e64726579	616e64726579	202020	no	rejected	DISPLAY_NAME_INVALID
16	752d616e64726579	616e64726579	d18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18f	no	accepted	-
17	752d616e64726579	616e64726579	d18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18fd18f	no	rejected	DISPLAY_NAME_INVALID
18	752d616e64726579	616e64726579	61616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161	no	rejected	DISPLAY_NAME_INVALID
19	752d616e64726579	616e64726579	c0af	no	rejected	TEXT_ENCODING_INVALID
20	752d616e64726579	616e64726579	eda080	no	rejected	TEXT_ENCODING_INVALID
21	752d616e64726579	616e64726579	d0	no	rejected	TEXT_ENCODING_INVALID
22	752d616e64726579	4142	c0af	yes	rejected	NICK_FORMAT_INVALID
23	752d616e64726579	616e64726579	c0af	yes	rejected	TEXT_ENCODING_INVALID
24	752d616e64726579	616e64726579	d090d0bdd0b4d180d0b5d0b9	yes	rejected	NICK_TAKEN
25	752d616e64726579	6130b0d05f2dc3b07a2d206d61c3	5f5f	no	rejected	NICK_FORMAT_INVALID
26	752d616e64726579	41b07ab02d30306d30612d	627a717a6d7a7a61717a615f	no	rejected	NICK_FORMAT_INVALID
27	752d616e64726579	5f30397130716d623971626d39716271717a7a	90	no	rejected	TEXT_ENCODING_INVALID
28	752d616e64726579	305f71617a61615f3930307a6d39	61	no	accepted	-
29	752d616e64726579	7ac3395fc341c35fb02d6d412d615f	626d	no	rejected	NICK_FORMAT_INVALID
30	752d616e64726579	5f2d7a	20	no	rejected	NICK_FORMAT_INVALID
31	752d616e64726579	62393930613061305f7a7a615f5f3971	30	yes	rejected	NICK_TAKEN
32	752d616e64726579	7a306d396d717a6d305f39715f6261	713962717a	no	accepted	-
33	752d616e64726579	717130397a6d717a	b0f090eda0	no	rejected	TEXT_ENCODING_INVALID
34	752d616e64726579	6dc3c34139d0	f0f0f009b0b0a020202080a0f0c2	no	rejected	NICK_FORMAT_INVALID
35	752d616e64726579	415f6dd020412d7ab0417a305f3061d03030	d0b07af0	no	rejected	NICK_FORMAT_INVALID
36	752d616e64726579	62616d7a62715f71396d	8020a0207a09d0a0d07a80a090c2b0d0a0f0f0	yes	rejected	TEXT_ENCODING_INVALID
37	752d616e64726579	6d2d5fb05f5f7a41	b0	no	rejected	NICK_FORMAT_INVALID
38	752d616e64726579	b041	5f5f62306d5f	no	rejected	NICK_FORMAT_INVALID
39	752d616e64726579	6262617a716d6d	61716d395f716d396d7a	no	accepted	-
40	752d616e64726579	612d20d0b0302d30c339c3d0b0d06d20417a	61a0f0610961	no	rejected	NICK_FORMAT_INVALID
41	752d616e64726579	7a396d7a30715f3971306d5f39395f6239	303939	yes	rejected	NICK_TAKEN
42	752d616e64726579	30393930717a30	7a61625f716139716d71716d	no	accepted	-
43	752d616e64726579	41207ac3396d39392061d0202d	30306d71	yes	rejected	NICK_FORMAT_INVALID
44	752d616e64726579	5f627a6d7a7a7162626d5f6d617a7161	09802020d0ed618009d0	no	rejected	TEXT_ENCODING_INVALID
45	752d616e64726579	d039203030b061	7a713962	no	rejected	NICK_FORMAT_INVALID
46	752d616e64726579	2041303961d0b05fb0b07a307ad06d417a20d07a	717a5f7a61305f5f617a39	no	rejected	NICK_FORMAT_INVALID
47	752d616e64726579	6130c36130616d3939	7a717a61396d	no	rejected	NICK_FORMAT_INVALID
48	752d616e64726579	3030613062306d716d6d61393961	615f71	yes	rejected	NICK_TAKEN
49	752d616e64726579	-	616d5f616d305f3961	no	rejected	NICK_FORMAT_INVALID
50	752d616e64726579	413939b05f20415fb020	90c28080c27a7a	no	rejected	NICK_FORMAT_INVALID
51	752d616e64726579	62305f6d616d6d307a62	-	yes	rejected	DISPLAY_NAME_INVALID
52	752d616e64726579	717a30305f7162305f62	20d0d0f07a09ed20807ab0f0f0	no	rejected	TEXT_ENCODING_INVALID
53	752d616e64726579	30c3c3c3d0c3305fd03020416d	c2b0	yes	rejected	NICK_FORMAT_INVALID
54	752d616e64726579	30307a5f7a6d627a3939616239	5f	yes	rejected	NICK_TAKEN
55	752d616e64726579	307a5f30716d7a6d5f7a	f0f06120209020ed80f02080907a90ed7a	yes	rejected	TEXT_ENCODING_INVALID
56	752d616e64726579	d061b07a41d0c3417a2d6d2030b07a417ad0c3d020	a0f0	no	rejected	NICK_FORMAT_INVALID
57	752d616e64726579	62615f61306d306d3071395f396d5f613962	5f626d5f39	no	accepted	-
58	752d616e64726579	b0b0d041d0416d2d5f7a305f7a5f	80c261c20990a0b0208020d009edb0d0	yes	rejected	NICK_FORMAT_INVALID
59	752d616e64726579	7a5f627171303062	61eda0f0b0b0b0a090617a20edf0b0	no	rejected	TEXT_ENCODING_INVALID
60	752d616e64726579	5f393939716d5f	305f39	no	accepted	-
61	752d616e64726579	7130617a7a61626d616d396271625f6d623961	c280ed20edd080	no	rejected	TEXT_ENCODING_INVALID
62	752d616e64726579	61617a3961625f	90c2f0a0edd0a07ad0f080c2d0edd0d0d020	no	rejected	TEXT_ENCODING_INVALID
63	752d616e64726579	5f61626162616d71305f	5f395f	no	accepted	-
64	752d616e64726579	71303061716271393030397a5f396d6d62626239	61a0a0b0f0f080f020a0a061a0f0	no	rejected	TEXT_ENCODING_INVALID
65	752d616e64726579	6d7161617a717161397a7a6161305f5f6271	397a7a6d5f615f7a71	yes	rejected	NICK_TAKEN
66	752d616e64726579	2dd0	7a627a627a7a3061	no	rejected	NICK_FORMAT_INVALID
67	752d616e64726579	d05f6141	-	yes	rejected	NICK_FORMAT_INVALID
68	752d616e64726579	5f61207ac3d03061202d7ac36d2d396d	3971716130615f616d7a39	no	rejected	NICK_FORMAT_INVALID
69	752d616e64726579	62626d627162395f39396d7a7a6d6139	5f6d306d7a6d6d39306d3962	no	accepted	-
70	752d616e64726579	6271613071307a5f61305f7a61305f	ed09b0	no	rejected	TEXT_ENCODING_INVALID
71	752d616e64726579	2d7ac3	61ed80612061b07ad0d0f0	no	rejected	NICK_FORMAT_INVALID
72	752d616e64726579	3939d0395f7ac3c3	7a61f0092061f0b009c290d0edc2a07a61c2c2	no	rejected	NICK_FORMAT_INVALID
